Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/register,61,0,610,591.6391704908999,273.4461180079961,951.2677859893302,206.0,0.6840210734357215,0.0,610,650,750,760,830,860,890,950,950,950,950
GET,/api/coaches,61,0,12,16.515040720791983,2.6721900067059323,63.24828299693763,1183.0,0.6840210734357215,0.0,12,18,20,26,34,42,54,63,63,63,63
GET,/api/competitions/:id/matchdays,226,0,8,9.23537954392398,2.9338059975998476,71.65259700559545,1640.0,2.5342420097782465,0.0,8,9,10,11,12,20,37,41,72,72,72
GET,/api/competitions/:id/standings,915,0,10,11.467550958387804,3.3974639954976737,167.686065993621,983.0,10.260316101535821,0.0,10,11,12,13,15,22,51,71,170,170,170
GET,/api/home,1213,0,15,18.48060069392408,5.222731007961556,286.56994499033317,936.0,13.601927247172625,0.0,15,17,17,19,22,41,88,120,280,290,290
GET,/api/players,61,0,16,21.50674267351383,4.986693005776033,92.17461300431751,25037.0,0.6840210734357215,0.0,16,23,26,28,39,56,65,92,92,92,92
GET,/api/players/catalog,924,0,10,14.285339981568116,3.4300709958188236,270.6019049946917,3732.2175324675327,10.361237243518142,0.0,10,11,13,14,17,31,75,110,270,270,270
GET,/api/players/facets,502,0,8,10.415425148954434,2.6569780020508915,232.65266900125425,164.0,5.62915703056938,0.0,8,8,10,11,14,24,50,63,230,230,230
POST,/api/teams [POST],61,0,53,61.802837769615415,12.34221100457944,189.12383299903013,2060.0,0.6840210734357215,0.0,53,68,72,81,120,150,170,190,190,190,190
,Aggregated,4024,0,10,23.758564215772793,2.6569780020508915,951.2677859893302,1907.0566600397615,45.1229639263171,0.0,11,13,16,17,23,55,150,480,860,950,950
