Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/register,24,0,1100,1393.5946696662238,322.6654790050816,2501.387821001117,206.0,0.2690906716934701,0.0,1100,2100,2400,2400,2500,2500,2500,2500,2500,2500,2500
GET,/api/coaches,24,0,35,128.4279667076286,4.235124986735173,688.8656730006915,1183.0,0.2690906716934701,0.0,40,65,310,320,400,420,690,690,690,690,690
GET,/api/competitions/:id/matchdays,201,0,8,82.77616394049227,2.9190119967097417,2416.7199789953884,1640.0,2.2536343754328123,0.0,8,10,11,12,16,230,1800,2000,2400,2400,2400
GET,/api/competitions/:id/standings,942,0,10,56.503057115627975,3.3045760064851493,2812.648923994857,983.0,10.561808863968702,0.0,10,11,12,13,15,45,1100,1900,2800,2800,2800
GET,/api/home,1185,0,15,70.37551720173026,5.312573004630394,2851.314466999611,936.0,13.286351914865087,0.0,15,17,18,19,22,72,1200,1900,2800,2900,2900
GET,/api/players,24,0,400,444.13987737425487,7.54471099935472,1310.7236299983924,25037.0,0.2690906716934701,0.0,470,520,780,940,1000,1000,1300,1300,1300,1300,1300
GET,/api/players/catalog,918,0,10,59.600265904223576,3.419093001866713,2558.008959997096,3732.0729847494554,10.292718192275231,0.0,10,12,13,14,17,51,1200,2000,2600,2600,2600
GET,/api/players/facets,469,0,8,55.035195946852284,2.6181809953413904,1961.3530399947194,164.0,5.258480209343229,0.0,8,8,11,11,15,97,1100,1600,2000,2000,2000
POST,/api/teams [POST],24,0,160,172.42007720657662,12.307383003644645,377.82767800672445,2060.0,0.2690906716934701,0.0,170,210,250,290,370,370,380,380,380,380,380
,Aggregated,3811,0,11,74.8122303387757,2.6181809953413904,2851.314466999611,1719.0787194961952,42.729356242658945,0.0,11,13,15,16,21,310,1300,2100,2600,2900,2900
