Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788717407,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788717408,9,,Aggregated,0.000000,0.000000,470,490,500,500,500,510,510,510,510,510,510,13,0,470,346.06066607879114,6.647246002103202,506.5335929975845,3208.923076923077
1788717409,18,,Aggregated,0.000000,0.000000,290,470,500,500,530,530,540,540,540,540,540,32,0,270,273.0357004079451,4.794205000507645,537.3994559922721,3599.28125
1788717410,27,,Aggregated,12.000000,0.000000,270,460,500,500,550,850,870,870,870,870,870,63,0,270,291.01979954025916,4.794205000507645,871.2652949907351,3645.0793650793653
1788717411,40,,Aggregated,12.000000,0.000000,270,440,490,500,550,850,870,870,870,870,870,68,0,270,280.41560129478216,4.794205000507645,871.2652949907351,3446.955882352941
1788717412,50,,Aggregated,13.000000,0.000000,400,520,580,790,970,1100,1400,1500,1800,1800,1800,124,0,380,436.04111501624556,4.794205000507645,1832.5240959966322,3580.8951612903224
1788717413,53,,Aggregated,17.000000,0.000000,290,470,530,580,900,1000,1200,1500,1800,1800,1800,158,0,290,367.73637307616605,4.235124986735173,1832.5240959966322,3323.1392405063293
1788717414,70,,Aggregated,16.800000,0.000000,290,470,530,580,890,1000,1200,1500,1800,1800,1800,164,0,290,361.55684264658925,4.235124986735173,1832.5240959966322,3257.25
1788717415,80,,Aggregated,16.800000,0.000000,290,470,530,580,900,1000,1300,1500,1800,1800,1800,165,0,290,367.1385831093754,4.235124986735173,1832.5240959966322,3243.4666666666667
1788717416,90,,Aggregated,23.285714,0.000000,340,540,860,1000,1800,2200,2500,2500,2500,2500,2500,192,0,330,582.670663067726,4.235124986735173,2501.387821001117,3038.40625
1788717417,89,,Aggregated,20.625000,0.000000,510,970,1300,1600,2100,2400,2600,2600,2900,2900,2900,302,0,500,814.3566305496532,4.235124986735173,2851.314466999611,3317.900662251656
1788717418,89,,Aggregated,20.000000,0.000000,440,830,1200,1500,2100,2400,2600,2600,2900,2900,2900,340,0,440,724.628352894155,3.0854959913995117,2851.314466999611,3125.685294117647
1788717419,89,,Aggregated,24.600000,0.000000,310,580,1000,1300,2100,2400,2500,2600,2900,2900,2900,384,0,310,642.9044735547222,3.0854959913995117,2851.314466999611,2976.5598958333335
1788717420,89,,Aggregated,30.100000,0.000000,240,530,940,1200,2000,2400,2500,2600,2900,2900,2900,426,0,230,581.554521532887,3.0854959913995117,2851.314466999611,2857.7981220657275
1788717421,89,,Aggregated,34.400000,0.000000,87,470,780,1100,1800,2200,2500,2600,2900,2900,2900,474,0,86,523.7506879156506,3.0854959913995117,2851.314466999611,2732.862869198312
1788717422,89,,Aggregated,37.000000,0.000000,43,370,580,940,1700,2200,2500,2600,2900,2900,2900,524,0,43,474.82784730727735,3.0854959913995117,2851.314466999611,2639.1450381679388
1788717423,89,,Aggregated,38.300000,0.000000,25,310,530,870,1600,2200,2500,2600,2900,2900,2900,565,0,25,441.1726117434405,3.0854959913995117,2851.314466999611,2579.6088495575223
1788717424,89,,Aggregated,41.100000,0.000000,18,270,500,750,1600,2100,2500,2600,2900,2900,2900,609,0,18,410.05970705759825,3.0854959913995117,2851.314466999611,2508.4137931034484
1788717425,89,,Aggregated,39.000000,0.000000,17,190,470,580,1500,2100,2500,2600,2900,2900,2900,651,0,17,384.33816859005685,2.8822619933634996,2851.314466999611,2459.7818740399384
1788717426,89,,Aggregated,42.300000,0.000000,16,68,380,530,1500,2100,2400,2500,2900,2900,2900,708,0,16,354.2296058844198,2.8822619933634996,2851.314466999611,2384.385593220339
1788717427,89,,Aggregated,46.500000,0.000000,15,50,320,510,1300,2100,2400,2500,2900,2900,2900,754,0,15,333.21743396181313,2.8822619933634996,2851.314466999611,2347.783819628647
