Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/register,24,0,280,293.2187015831005,271.40119699470233,370.69068299024366,206.0,0.26919838504121524,0.0,280,300,310,310,320,320,370,370,370,370,370
GET,/api/coaches,24,0,4,5.462694125526468,2.758196002105251,15.470758007722907,1031.0,0.26919838504121524,0.0,4,5,6,9,11,12,15,15,15,15,15
GET,/api/competitions/:id/matchdays,268,0,8,8.944591560256372,2.9260509909363464,46.57439600850921,2479.0,3.006048632960237,0.0,8,9,10,11,14,17,18,39,47,47,47
GET,/api/competitions/:id/standings,871,0,10,10.814681378636006,3.424060996621847,107.1015269990312,983.0,9.76965805712077,0.0,10,11,12,13,15,20,36,50,110,110,110
GET,/api/home,1075,0,14,14.405283056751847,5.073886000900529,176.66508800175507,839.0,12.0578443299711,0.0,14,15,16,17,20,24,45,52,62,180,180
GET,/api/players,24,0,10,10.30761862421059,5.2404940070118755,17.25157401233446,25037.0,0.26919838504121524,0.0,10,11,14,14,15,16,17,17,17,17,17
GET,/api/players/catalog,842,0,10,10.73967861532175,3.595357993617654,61.597815991262905,3731.7838479809975,9.444376675195969,0.0,10,11,12,13,16,20,37,40,62,62,62
GET,/api/players/facets,405,0,7,8.011094402172603,2.53582900040783,45.097358990460634,164.0,4.542722747570507,0.0,7,8,9,10,12,15,27,31,45,45,45
POST,/api/teams [POST first],14,0,15,20.037689285735333,13.254015007987618,38.83348198723979,2551.0,0.15703239127404223,0.0,16,21,25,29,30,39,39,39,39,39,39
POST,/api/teams [POST retry-same-key],14,0,13,13.137909428873431,4.911176991299726,23.46529699570965,2551.0,0.15703239127404223,0.0,13,14,15,20,21,23,23,23,23,23,23
POST,/api/teams [POST],10,0,25,24.773428594926372,15.86346299154684,30.931789995520376,2550.0,0.11216599376717303,0.0,25,26,30,30,31,31,31,31,31,31,31
PUT,/api/teams/:id/lineup [PUT],46,0,11,12.266053215843504,5.994858991471119,29.460491001373157,82.0,0.5159635713289958,0.0,11,13,15,16,17,20,29,29,29,29,29
POST,/api/teams/:id/transfers [POST],115,0,30,30.498492938805494,15.74146599159576,85.97841300070286,2548.9565217391305,1.2899089283224898,0.0,30,33,35,36,38,40,45,45,86,86,86
,Aggregated,3732,0,10,13.87706700958281,2.53582900040783,370.69068299024366,1783.3542336548767,41.86034887390897,0.0,10,12,14,15,20,30,41,57,320,370,370
