Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/register,71,0,680,777.758368662342,347.87761099869385,1746.6455140092876,206.0,0.7959103797075059,0.0,680,780,900,1000,1100,1500,1700,1700,1700,1700,1700
GET,/api/coaches,71,0,9,35.733467478692056,2.8006030042888597,436.3258439989295,1031.0,0.7959103797075059,0.0,9,15,26,34,54,270,320,440,440,440,440
GET,/api/competitions/:id/matchdays,741,0,6,21.705704847049546,2.868100011255592,1045.9858209942468,2479.0,8.306613962862842,0.0,6,8,10,11,19,55,260,520,1000,1000,1000
GET,/api/competitions/:id/standings,2533,0,8,23.2175264741213,3.369689002283849,1482.9392490064492,983.0,28.394943546466372,0.0,8,10,12,13,21,52,230,520,1200,1500,1500
GET,/api/home,3207,0,11,32.345274964164055,5.082869989564642,1628.510993992677,839.0,35.95048715101368,0.0,11,14,16,19,29,72,320,650,1500,1600,1600
GET,/api/players,71,0,16,52.534135901098615,6.021884008077905,1256.3182650046656,25037.0,0.7959103797075059,0.0,16,21,29,38,57,180,510,1300,1300,1300,1300
GET,/api/players/catalog,2556,0,8,25.095827607542496,3.5513709881342947,1316.077926006983,3732.150625978091,28.65277366947021,0.0,8,10,12,13,21,45,310,610,1200,1300,1300
GET,/api/players/facets,1250,0,6,20.590127574384677,2.4362539988942444,1157.4692020076327,164.0,14.012506684991301,0.0,6,7,9,10,15,25,170,700,1100,1200,1200
POST,/api/teams [POST first],41,0,95,608.8946451193074,17.352926995954476,2636.010913993232,2551.0,0.45961021926771467,0.0,95,470,920,1400,2100,2500,2600,2600,2600,2600,2600
POST,/api/teams [POST retry-same-key],41,0,20,178.59420597641275,5.631040010484867,1314.876203003223,2551.0,0.45961021926771467,0.0,20,40,62,120,900,950,1300,1300,1300,1300,1300
POST,/api/teams [POST],30,0,32,153.854403400328,12.7242590097012,2688.8961240038043,2550.0,0.3363001604397912,0.0,33,43,60,77,360,420,2700,2700,2700,2700,2700
PUT,/api/teams/:id/lineup [PUT],96,0,12,17.061314427337493,5.922220996581018,319.31761700252537,82.0,1.076160513407332,0.0,12,14,16,17,21,40,56,320,320,320,320
POST,/api/teams/:id/transfers [POST],362,0,28,42.64129967350276,14.09273200260941,1514.026651988388,2564.4116022099447,4.058021935973481,0.0,28,33,40,43,52,64,94,100,1500,1500,1500
,Aggregated,11070,0,9,34.685850873740264,2.4362539988942444,2688.8961240038043,1793.06711833785,124.09475920228296,0.0,9,12,14,17,30,72,480,780,1700,2600,2700
